ID|Food Concept|URLs
B000133|MAPLE SYRUP|http://purl.obolibrary.org/obo/FOODON_03303225;http://purl.obolibrary.org/obo/FOODON_03301848
B000134|APPLESAUCE|http://purl.obolibrary.org/obo/FOODON_03301126
B000135|CANOLA OIL|http://purl.obolibrary.org/obo/FOODON_03310387;http://purl.obolibrary.org/obo/FOODON_03302578
B000136|PLASTIC CONTAINER|http://purl.obolibrary.org/obo/FOODON_03500036;http://purl.obolibrary.org/obo/FOODON_03490172
B000137|TOP SHELL|http://purl.obolibrary.org/obo/FOODON_03412321
B000138|OYSTERS|http://purl.obolibrary.org/obo/NCBITaxon_6563
B000139|LIQUEUR|http://purl.obolibrary.org/obo/FOODON_03301008
B000140|WHIPPED TOPPING|http://purl.obolibrary.org/obo/FOODON_03302772
B000141|TOMATO PASTE|http://purl.obolibrary.org/obo/NCBITaxon_4081;http://purl.obolibrary.org/obo/FOODON_03301455
B000142|CELERY|http://purl.obolibrary.org/obo/NCBITaxon_117781
B000143|TUNA|http://purl.obolibrary.org/obo/FOODON_03411269
B000144|CELERY SALT|http://purl.obolibrary.org/obo/FOODON_03304738;http://purl.obolibrary.org/obo/NCBITaxon_117781;http://purl.obolibrary.org/obo/CHEBI_24866
B000145|ONION SALT|http://purl.obolibrary.org/obo/FOODON_03316347;http://purl.obolibrary.org/obo/CHEBI_24866;http://purl.obolibrary.org/obo/FOODON_03304740
B000146|ITALIAN SAUSAGE|http://purl.obolibrary.org/obo/ancestro_0307;http://purl.obolibrary.org/obo/FOODON_03317294
B000147|BAKING MIX|http://purl.obolibrary.org/obo/FOODON_03311630
B000148|CHERRY|http://purl.obolibrary.org/obo/FOODON_03301240
B000149|SEASONINGS|http://purl.obolibrary.org/obo/FOODON_03301189
B000150|PECAN|http://purl.obolibrary.org/obo/FOODON_03304764;http://purl.obolibrary.org/obo/NCBITaxon_32201
B000151|WHISKEY|http://purl.obolibrary.org/obo/FOODON_03302775
B000152|WAX|http://purl.obolibrary.org/obo/FOODON_03500015
B000153|REFRIED BEANS|http://purl.obolibrary.org/obo/FOODON_03304010
B000154|SEASONING MIX|http://purl.obolibrary.org/obo/FOODON_03302060
B000155|TOMATO|http://purl.obolibrary.org/obo/NCBITaxon_4081
