ID|Food Concept|URLs
C000109|VERMOUTH|http://purl.bioontology.org/ontology/SNOMEDCT/608773004
C000110|SHERRY|http://purl.bioontology.org/ontology/SNOMEDCT/226057007
C000111|PORK|http://purl.bioontology.org/ontology/SNOMEDCT/226934003
C000112|PEANUT BUTTER|http://purl.bioontology.org/ontology/SNOMEDCT/226888007;http://purl.bioontology.org/ontology/SNOMEDCT/102260001;http://purl.bioontology.org/ontology/SNOMEDCT/762952008
C000113|CHOCOLATE|http://purl.bioontology.org/ontology/SNOMEDCT/102262009
C000114|OATMEAL|http://purl.bioontology.org/ontology/SNOMEDCT/226725004
C000115|CEREAL|http://purl.bioontology.org/ontology/SNOMEDCT/23182003
C000116|CHIPS|http://purl.bioontology.org/ontology/SNOMEDCT/227282006
C000117|CHEESE SPREAD|http://purl.bioontology.org/ontology/SNOMEDCT/102264005;http://purl.bioontology.org/ontology/SNOMEDCT/226809002
C000118|BEER|http://purl.bioontology.org/ontology/SNOMEDCT/53410008
C000119|CHILI PEPPER|http://purl.bioontology.org/ontology/SNOMEDCT/710040007;http://purl.bioontology.org/ontology/SNOMEDCT/412066006
C000120|VEGETABLE|http://purl.bioontology.org/ontology/SNOMEDCT/22836000
C000121|MAPLE SYRUP|http://purl.bioontology.org/ontology/SNOMEDCT/229862008;http://purl.bioontology.org/ontology/SNOMEDCT/229865005
C000122|APPLESAUCE|http://purl.bioontology.org/ontology/SNOMEDCT/420823005
C000123|CANOLA OIL|http://purl.bioontology.org/ontology/SNOMEDCT/713648000;http://purl.bioontology.org/ontology/SNOMEDCT/226908006
C000124|RAISINS|http://purl.bioontology.org/ontology/SNOMEDCT/227463004
C000125|COCONUT|http://purl.bioontology.org/ontology/SNOMEDCT/735211005
C000126|LIQUEUR|http://purl.bioontology.org/ontology/SNOMEDCT/226038003
C000127|OYSTER|http://purl.bioontology.org/ontology/SNOMEDCT/736031006
C000128|CELERY|http://purl.bioontology.org/ontology/SNOMEDCT/256326004
C000129|TOMATO|http://purl.bioontology.org/ontology/SNOMEDCT/734881000
C000130|CHERRY|http://purl.bioontology.org/ontology/SNOMEDCT/735248001
C000131|EGG WHITE|http://purl.bioontology.org/ontology/SNOMEDCT/256443002
C000132|WHISKEY|http://purl.bioontology.org/ontology/SNOMEDCT/226528004
C000133|BREADCRUMBS|http://purl.bioontology.org/ontology/SNOMEDCT/226562004
C000134|SEAFOOD|http://purl.bioontology.org/ontology/SNOMEDCT/44027008
C000135|SWISS CHEESE|http://purl.bioontology.org/ontology/SNOMEDCT/102264005;http://purl.bioontology.org/ontology/SNOMEDCT/442341000124109
C000136|CORNED BEEF|http://purl.bioontology.org/ontology/SNOMEDCT/227034009;http://purl.bioontology.org/ontology/SNOMEDCT/226916002
C000137|COCKTAIL|http://purl.bioontology.org/ontology/SNOMEDCT/608772009
C000138|SWEET POTATO|http://purl.bioontology.org/ontology/SNOMEDCT/735053000;http://purl.bioontology.org/ontology/SNOMEDCT/735004000
C000139|POTATO CAKES|http://purl.bioontology.org/ontology/SNOMEDCT/227911003;http://purl.bioontology.org/ontology/SNOMEDCT/735053000
C000140|TOMATO SAUCE|http://purl.bioontology.org/ontology/SNOMEDCT/227519005;http://purl.bioontology.org/ontology/SNOMEDCT/734881000;http://purl.bioontology.org/ontology/SNOMEDCT/227536002
C000141|SALAD|http://purl.bioontology.org/ontology/SNOMEDCT/227927005
C000142|WHITE WINE|http://purl.bioontology.org/ontology/SNOMEDCT/67990004;http://purl.bioontology.org/ontology/SNOMEDCT/35748005
C000143|MOLASSES|http://purl.bioontology.org/ontology/SNOMEDCT/227606003
C000144|TEA|http://purl.bioontology.org/ontology/SNOMEDCT/16313001
C000145|BROCCOLI|http://purl.bioontology.org/ontology/SNOMEDCT/735123009
C000146|PASTRY|http://purl.bioontology.org/ontology/SNOMEDCT/226749001
C000147|BRIE CHEESE|http://purl.bioontology.org/ontology/SNOMEDCT/102264005;http://purl.bioontology.org/ontology/SNOMEDCT/226855000
C000148|CURRY POWDER|http://purl.bioontology.org/ontology/SNOMEDCT/227395004
C000149|JELLY|http://purl.bioontology.org/ontology/SNOMEDCT/227722009
C000150|COTTAGE CHEESE|http://purl.bioontology.org/ontology/SNOMEDCT/102264005;http://purl.bioontology.org/ontology/SNOMEDCT/226814003
C000151|CRANBERRIES|http://purl.bioontology.org/ontology/SNOMEDCT/227421003
C000152|CORNMEAL|http://purl.bioontology.org/ontology/SNOMEDCT/229948002
C000153|EGGPLANT|http://purl.bioontology.org/ontology/SNOMEDCT/227219006
C000154|PEANUT|http://purl.bioontology.org/ontology/SNOMEDCT/762952008
C000155|QUINOA|http://purl.bioontology.org/ontology/SNOMEDCT/227515004
C000156|BLUEBERRIES|http://purl.bioontology.org/ontology/SNOMEDCT/412061001
C000157|OATS|http://purl.bioontology.org/ontology/SNOMEDCT/418504009;http://purl.bioontology.org/ontology/SNOMEDCT/9424004
C000158|COCONUT MILK|http://purl.bioontology.org/ontology/SNOMEDCT/735211005;http://purl.bioontology.org/ontology/SNOMEDCT/70813002;http://purl.bioontology.org/ontology/SNOMEDCT/227500000
C000159|PINEAPPLE|http://purl.bioontology.org/ontology/SNOMEDCT/256313003
C000160|WATERMELON|http://purl.bioontology.org/ontology/SNOMEDCT/419420009
C000161|RED WINE|http://purl.bioontology.org/ontology/SNOMEDCT/58732000;http://purl.bioontology.org/ontology/SNOMEDCT/35748005
C000162|TARRAGON|http://purl.bioontology.org/ontology/SNOMEDCT/227412004
C000163|SAGE|http://purl.bioontology.org/ontology/SNOMEDCT/227411006
C000164|OREGANO|http://purl.bioontology.org/ontology/SNOMEDCT/227407000
C000165|HAM|http://purl.bioontology.org/ontology/SNOMEDCT/442861000124104
C000166|PANCAKE|http://purl.bioontology.org/ontology/SNOMEDCT/443981000124106
C000167|BAY LEAF|http://purl.bioontology.org/ontology/SNOMEDCT/227379004
C000168|WINE|http://purl.bioontology.org/ontology/SNOMEDCT/35748005
C000169|PAPAYA|http://purl.bioontology.org/ontology/SNOMEDCT/735212003
C000170|COLESLAW|http://purl.bioontology.org/ontology/SNOMEDCT/227932006
C000171|CARDAMOM|http://purl.bioontology.org/ontology/SNOMEDCT/227382009
C000172|DATES|http://purl.bioontology.org/ontology/SNOMEDCT/227423000
C000173|COCONUT OIL|http://purl.bioontology.org/ontology/SNOMEDCT/735211005;http://purl.bioontology.org/ontology/SNOMEDCT/28942008
C000174|LEMON GRASS|http://purl.bioontology.org/ontology/SNOMEDCT/735340006;http://purl.bioontology.org/ontology/SNOMEDCT/821000161108
